From	To	Species	Gene Name
HSDM	1450365	Lactobacillus sakei	HsdM(hsdM)
HSDM	13918721	Lactococcus lactis subsp. lactis	similar to YP_001032001(hsdM)
HSDM	1182721	[Pseudomonas syringae] pv. tomato str. DC3000	type I restriction-modification system, M subunit(hsdM)
HSDM	1064004	Lactobacillus plantarum WCFS1	type I restriction-modification system,methylation subunit(hsdM)
HSDM	1091622	Mycobacterium bovis AF2122/97	type I restriction/modification system DNA methylase HsdM(hsdM)
HSDM	1790327	Rhodopirellula baltica SH 1	type I restriction enzyme StySPI M protein(hsdM)
HSDM	909549	Mycobacterium leprae TN	pseudo(hsdM)
HSDM	876775	Mycoplasma pneumoniae M129	type I restriction-modification system methylase(hsdM)
HSDM	17779005	Salmonella enterica subsp. enterica serovar Typhi str. CT18	pseudo(hsdM)
HSDM	5184933	Clostridium botulinum A str. ATCC 3502	type I restriction enzyme M subunit(hsdM)
HSDM	12375645	Ketogulonicigenium vulgare WSH-001	Type I restriction-modification system DNA methylase, putative(hsdM)
HSDM	3279925	Vibrio fischeri ES114	DNA methylase M(hsdM)
HSDM	11639384	Acinetobacter pittii PHEA-2	type I restriction-modification system methyltransferase subunit(hsdM)
HSDM	2795833	Desulfovibrio vulgaris str. Hildenborough	type I restriction-modification system, M subunit(hsdM)
HSDM	3190753	Francisella tularensis subsp. tularensis SCHU S4	DNA-methyltransferase, type I restriction-modification enzyme subunit M(hsdM)
HSDR	7156717	Escherichia coli UMN026	type I restriction enzyme EcoKI subunit R(hsdR)
HSDR	18262005	Klebsiella pneumoniae	Type I restriction modification system, restriction protein(hsdR)
HSDR	11013222	Lactococcus lactis subsp. lactis	similar to NP_266806(hsdR)
HSDR	13906144	Escherichia coli	type I restriction enzyme R subunit(hsdR)
HSDR	1168257	Shewanella oneidensis MR-1	type I restriction-modification system restriction endonuclease cleavage subunit HsdR(hsdR)
HSDR	10007494	Edwardsiella tarda	type I site specific deoxyribonuclease; similar to sch_163 in pSC138(hsdR)
HSDR	1000962	Xanthomonas campestris pv. campestris str. ATCC 33913	type I restriction-modification system endonuclease(hsdR)
HSDR	1114271	Lactococcus lactis subsp. lactis Il1403	type I restriction enzyme R protein(hsdR)
HSDR	18262418	Klebsiella pneumoniae	type I restriction modification system, restriction protein(hsdR)
HSDR	901590	Streptococcus pyogenes M1 GAS	putative type I site-specific deoxyribonuclease(hsdR)
HSDR	20467036	Lactococcus lactis subsp. lactis	HsdR(hsdR)
HSDR	1232234	Sinorhizobium meliloti 1021	type I restriction enzyme R protein(hsdR)
HSDR	1795251	Rhodopirellula baltica SH 1	hypothetical protein(hsdR)
HSDR	1256052	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	endonuclease R(hsdR)
HSDR	11638356	Acinetobacter pittii PHEA-2	HsdR protein chain(hsdR)
HSDR	3125822	Lactococcus lactis subsp. lactis	hypothetical protein(hsdR)
HSDR	7790712	Sinorhizobium fredii NGR234	type I restriction enzyme EcoKI subunit R(hsdR)
HSDR	11933479	Klebsiella pneumoniae	Type I restriction modification system, restriction protein(hsdR)
HSDR	3977255	Lactobacillus salivarius UCC118	type I restriction-modification system restriction subunit(hsdR)
HSDR	905828	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	type I restriction enzyme R protein(hsdR)
HSDR	1043007	Pseudomonas putida KT2440	type I restriction modification system endonuclease(hsdR)
HSDR	11031175	Lactococcus lactis subsp. lactis bv. diacetylactis	type I restriction-modification system restriction subunit(hsdR)
HSDR	9389620	Klebsiella pneumoniae	R subunit(hsdR)
HSDR	948878	Escherichia coli str. K-12 substr. MG1655	endonuclease R Type I restriction enzyme(hsdR)
HSDR	20474364	Klebsiella pneumoniae	type I restriction enzyme restriction subunit(hsdR)
HSDR	950228	Haemophilus influenzae Rd KW20	type I restriction enzyme(hsdR)
HSDR	1113353	Streptococcus thermophilus	type IC restriction subunit(hsdR)
HSDR	12999268	Enterococcus faecium DO	type I site-specific deoxyribonuclease restriction subunit(hsdR)
HSDR	12393265	Lactococcus lactis	(hsdR)
HSDR	1007858	Chlorobium tepidum TLS	type I restriction system endonuclease(hsdR)
HSDR	12375648	Ketogulonicigenium vulgare WSH-001	Type I restriction-modification system endonuclease, putative(hsdR)
HSDR	1171870	Shewanella oneidensis MR-1	type I restriction-modification system restriction endonuclease cleavage subunit HsdR(hsdR)
HSDR	7151677	Escherichia coli IAI39	Type I restriction enzyme EcoAI R protein (R.EcoAI)(hsdR)
HSDR	934335	Streptococcus pneumoniae R6	type I restriction-modification system R subunit(hsdR)
HSDR	6276058	Escherichia coli	HsdR(HsdR)
HSDR	13903486	Escherichia coli	type I restriction enzyme R subunit(hsdR)
HSDR	18262212	Klebsiella pneumoniae	type I restriction modification system, restriction protein(hsdR)
HSDR	1152542	Leptospira interrogans serovar Lai str. 56601	type I restriction enzyme(hsdR)
HSDR	6385865	Enterococcus faecium	putative type I site-specific deoxyribonuclease HsdR(hsdR)
HSDR	1022099	Bifidobacterium longum NCC2705	hsdR(hsdR)
HSDR	1450366	Lactobacillus sakei	HsdR(hsdR)
HSDR	11172141	Bacillus coagulans 36D1	type I restriction endonuclease EcoKI subunit R(hsdR)
HSDR	6268242	Vibrio tapetis	type I site-specific deoxyribonuclease(hsdR)
HSDR	1064000	Lactobacillus plantarum WCFS1	type I restriction-modification system,restriction subunit(hsdR)
HSDR	1791501	Rhodopirellula baltica SH 1	type I restriction enzyme EcoKI subunit R(hsdR)
HSDR	1795152	Rhodopirellula baltica SH 1	type I restriction enzyme EcoAI R protein(hsdR)
HSDR	11639383	Acinetobacter pittii PHEA-2	type I site-specific restriction-modification system(hsdR)
HSDR	1251082	Salmonella enterica subsp. enterica serovar Typhi str. CT18	subunit R of type I restriction-modification system(hsdR)
HSDR	5788192	Salmonella enterica subsp. enterica serovar Choleraesuis	cytochrome c heme-binding site(hsdR)
HSDR	13918746	Lactococcus lactis subsp. lactis	similar to INSD accession AAB91415.1(hsdR)
HSDR	5184937	Clostridium botulinum A str. ATCC 3502	type I restriction enzyme R subunit(hsdR)
HSDR	934824	Streptococcus pneumoniae R6	type I restriction-modification system R subunit(hsdR)
HSDR	13917594	Rickettsia felis	HsdR(hsdR)
HSDR	13917595	Rickettsia felis	HsdR(hsdR)
HSDS	951125	Haemophilus influenzae Rd KW20	type I restriction/modification specificity protein(hsdS)
HSDS	11179361	Lactococcus lactis subsp. lactis	putative hsdS(hsdS)
HSDS	1028249	Streptococcus mutans UA159	restriction endonuclease(hsdS)
HSDS	11013228	Lactococcus lactis subsp. lactis	similar to INSD accession AAC38352(hsdS)
HSDS	13906147	Escherichia coli	HsdS specificity protein(hsdS)
HSDS	1168259	Shewanella oneidensis MR-1	type I restriction-modification system restriction endonuclease DNA specificity subunit HsdS(hsdS)
HSDS	1263076	Lactococcus lactis subsp. lactis	HsdS(hsdS)
HSDS	20474201	Klebsiella pneumoniae	putative type I restriction-modification system specificity determinant(hsdS)
HSDS	20467038	Lactococcus lactis subsp. lactis	HsdS(hsdS)
HSDS	901591	Streptococcus pyogenes M1 GAS	putative type I site-specific deoxyribonuclease(hsdS)
HSDS	1232235	Sinorhizobium meliloti 1021	specificity protein S(hsdS)
HSDS	11933929	Lactococcus garvieae	Putative Methylase S(hsdS)
HSDS	7157859	Escherichia coli UMN026	EcoKI restriction-modification system protein HsdS(hsdS)
HSDS	1795616	Rhodopirellula baltica SH 1	polypeptide HsdS(hsdS)
HSDS	1256050	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	type I restriction enzyme specificity protein(hsdS)
HSDS	13903489	Escherichia coli	HsdS specificty protein(hsdS)
HSDS	1114273	Lactococcus lactis subsp. lactis Il1403	type I restriction enzyme specificity protein(hsdS)
HSDS	11933916	Lactococcus garvieae	putative methylase S(hsdS)
HSDS	18262308	Klebsiella pneumoniae	type I restriction modification system, specificity protein(hsdS)
HSDS	876975	Mycoplasma pneumoniae M129	type I restriction-modification system specificity protein(hsdS)
HSDS	3125816	Lactococcus lactis subsp. lactis	hypothetical protein(hsdS)
HSDS	1450368	Lactobacillus sakei	HsdS(hsdS)
HSDS	1169275	Shewanella oneidensis MR-1	type I restriction-modification system restriction endonuclease DNA specificity subunit HsdS(hsdS)
HSDS	7152795	Escherichia coli IAI39	Type I restriction enzyme EcoAI specificity protein (S protein) (S.EcoAI)(hsdS)
HSDS	3977251	Lactobacillus salivarius UCC118	type I restriction-modification system specificity subunit(hsdS)
HSDS	11933476	Klebsiella pneumoniae	Type I restriction modification system, specificity protein(hsdS)
HSDS	3977250	Lactobacillus salivarius UCC118	type I restriction-modification system specificity subunit(hsdS)
HSDS	1795471	Rhodopirellula baltica SH 1	restriction modification system S chain-like protein(hsdS)
HSDS	3977253	Lactobacillus salivarius UCC118	type I restriction-modification system specificity subunit(hsdS)
HSDS	905830	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	type I restriction enzyme S protein(hsdS)
HSDS	1042031	Pseudomonas putida KT2440	type I restriction modification system specificity protein(hsdS)
HSDS	948867	Escherichia coli str. K-12 substr. MG1655	specificity determinant for hsdM and hsdR(hsdS)
HSDS	11031177	Lactococcus lactis subsp. lactis bv. diacetylactis	type I restriction-modification system specificity subunit(hsdS)
HSDS	3125807	Lactococcus lactis subsp. lactis	potential specificity subunit of a type I R/M mechanism(hsdS)
HSDS	950231	Haemophilus influenzae Rd KW20	type I restriction/modification specificity protein(hsdS)
HSDS	1113355	Streptococcus thermophilus	type IC specificity subunit(hsdS)
HSDS	9389618	Klebsiella pneumoniae	putative type I restriction-modification system specificity determinant(hsdS)
HSDS	12354829	Lactococcus lactis subsp. lactis	similar to NP_258262(hsdS)
HSDS	3499446	Lactococcus lactis subsp. cremoris	hypothetical protein(hsdS)
HSDS	12999267	Enterococcus faecium DO	type I site-specific deoxyribonuclease specificity subunit(hsdS)
HSDS	934328	Streptococcus pneumoniae R6	type I restriction-modification system S subunit(hsdS)
HSDS	1171867	Shewanella oneidensis MR-1	type I restriction-modification system restriction endonuclease DNA specificity subunit HsdS(hsdS)
HSDS	934789	Streptococcus pneumoniae R6	type I restriction-modification system S subunit(hsdS)
HSDS	1091610	Mycobacterium bovis AF2122/97	type I restriction/modification system specificity determinant HsdS(hsdS)
HSDS	1462089	Prochlorococcus marinus subsp. marinus str. CCMP1375	Restriction endonuclease S subunit(hsdS)
HSDS	18262089	Klebsiella pneumoniae	type I restriction modification system, specificity protein(hsdS)
HSDS	934784	Streptococcus pneumoniae R6	type I restriction-modification system S subunit(hsdS)
HSDS	1793710	Rhodopirellula baltica SH 1	type I restriction enzyme EcoEI specificity protein(hsdS)
HSDS	1450208	Lactococcus lactis	hypothetical protein(hsdS)
HSDS	934798	Streptococcus pneumoniae R6	type I restriction-modification system S subunit(hsdS)
HSDS	1152540	Leptospira interrogans serovar Lai str. 56601	type I restriction enzyme EcoprrI specificity protein(hsdS)
HSDS	2740963	Treponema denticola ATCC 35405	type I restriction-modification system subunit S(hsdS)
HSDS	1022097	Bifidobacterium longum NCC2705	hsdS(hsdS)
HSDS	11040492	Lactococcus lactis subsp. lactis bv. diacetylactis	type I R/M system HsdS subunit(hsdS)
HSDS	6276103	Escherichia coli	HsdS(HsdS)
HSDS	9904337	Gardnerella vaginalis ATCC 14019	type I restriction-modification enzyme(hsdS)
HSDS	13918722	Lactococcus lactis subsp. lactis	similar to NP_862616(hsdS)
HSDS	1113431	Lactococcus lactis	specificity determinant HsdS(hsdS)
HSDS	3191083	Francisella tularensis subsp. tularensis SCHU S4	pseudo(hsdS)
HSDS	1450205	Lactococcus lactis	hypothetical protein(hsdS)
HSDS	1238347	Lactococcus lactis subsp. lactis bv. diacetylactis	type I R/M system specificity subunit(hsdS)
HSDS	1238349	Lactococcus lactis subsp. lactis bv. diacetylactis	type I R/M system specificity subunit(hsdS)
HSDS	1238351	Lactococcus lactis subsp. lactis bv. diacetylactis	HsdS protein(hsdS)
HSDS	877140	Mycoplasma pneumoniae M129	hypothetical protein(hsdS)
HSDS	1238353	Lactococcus lactis subsp. lactis bv. diacetylactis	HsdS(hsdS)
HSDS	887695	Mycobacterium tuberculosis H37Rv	type I restriction/modification system specificity determinant HsdS(hsdS)
HSDS	5184934	Clostridium botulinum A str. ATCC 3502	type I restriction enzyme S subunit(hsdS)
HSDS	6268224	Vibrio tapetis	type IC specificity subunit(hsdS)
HSDS	1251080	Salmonella enterica subsp. enterica serovar Typhi str. CT18	subunit S of type I restriction-modification system(hsdS)
HSDS	1792717	Rhodopirellula baltica SH 1	Type I restriction enzyme EcoBI specificity protein(hsdS)
HSDS	18261889	Klebsiella pneumoniae	Type I restriction modification system, specificity protein(hsdS)
HSDS	12375646	Ketogulonicigenium vulgare WSH-001	Type I restriction-mod(hsdS)
HSDS	13919111	Lactococcus lactis subsp. cremoris	type I restriction-modification HsdS subunit(hsdS)
HSDS	11135794	Lactococcus lactis subsp. lactis	similar to YP_139340(hsdS)
PEPQ	7789951	Sinorhizobium fredii NGR234	Xaa-Pro dipeptidase(pepQ)
PEPQ	3977916	Lactobacillus salivarius UCC118	Xaa-Pro aminopeptidase(pepQ)
PEPQ	1792756	Rhodopirellula baltica SH 1	X-pro aminopeptidase PepQ2(pepQ)
PEPQ	900741	Streptococcus pyogenes M1 GAS	putative XAA-PRO dipeptidase; X-PRO dipeptidase(pepQ)
PEPQ	5400155	Clostridium botulinum A str. Hall	proline dipeptidase(pepQ)
PEPQ	909278	Mycobacterium leprae TN	peptidase(pepQ)
PEPQ	2745286	Mycoplasma mycoides subsp. mycoides SC str. PG1	Xaa-Pro dipeptidase(pepQ)
PEPQ	2855039	[Bacillus thuringiensis] serovar konkukian str. 97-27	proline dipeptidase(pepQ)
PEPQ	1193116	Aquifex aeolicus VF5	xaa-pro dipeptidase(pepQ)
PEPQ	2856916	[Bacillus thuringiensis] serovar konkukian str. 97-27	proline dipeptidase, Xaa-Pro dipeptidase(pepQ)
PEPQ	3797014	Shigella dysenteriae Sd197	proline dipeptidase(pepQ)
PEPQ	2744297	Mycoplasma mycoides subsp. mycoides SC str. PG1	proline dipeptidase(pepQ)
PEPQ	1090907	Mycobacterium bovis AF2122/97	peptidase PepQ(pepQ)
PEPQ	4490322	Aeromonas hydrophila subsp. hydrophila ATCC 7966	proline dipeptidase(pepQ)
PEPQ	933393	Streptococcus pneumoniae R6	dipeptidase(pepQ)
PEPQ	1255510	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Xaa-Pro dipeptidase(pepQ)
PEPQ	1013510	Streptococcus agalactiae 2603V/R	proline dipeptidase(pepQ)
PEPQ	1064134	Lactobacillus plantarum WCFS1	Xaa-Pro dipeptidase(pepQ)
PEPQ	999112	Xanthomonas campestris pv. campestris str. ATCC 33913	proline dipeptidase(pepQ)
PEPQ	7154214	Escherichia coli IAI39	proline dipeptidase(pepQ)
PEPQ	1028824	Streptococcus mutans UA159	dipeptidase PepQ(pepQ)
PEPQ	2858060	[Bacillus thuringiensis] serovar konkukian str. 97-27	Xaa-Pro dipeptidase(pepQ)
PEPQ	999442	Xanthomonas campestris pv. campestris str. ATCC 33913	proline dipeptidase(pepQ)
PEPQ	1115309	Lactococcus lactis subsp. lactis Il1403	proline dipeptidase(pepQ)
PEPQ	8797831	Streptococcus mitis B6	X-Pro dipeptidase(pepQ)
PEPQ	948335	Escherichia coli str. K-12 substr. MG1655	proline dipeptidase(pepQ)
PEPQ	4714533	Yersinia enterocolitica subsp. enterocolitica 8081	proline dipeptidase(pepQ)
PEPQ	888409	Mycobacterium tuberculosis H37Rv	cytoplasmic peptidase PepQ(pepQ)
PEPQ	5186285	Clostridium botulinum A str. ATCC 3502	Xaa-Pro dipeptidase(pepQ)
PEPQ	1167920	Shewanella oneidensis MR-1	Xaa-Pro dipeptidase PepQ(pepQ)
PEPQ	7156303	Escherichia coli UMN026	proline dipeptidase(pepQ)
PEPQ	3976586	Lactobacillus salivarius UCC118	Xaa-Pro dipeptidase(pepQ)
PEPQ	1176600	Yersinia pestis CO92	proline dipeptidase(pepQ)
PEPQ	1024129	Shigella flexneri 2a str. 301	proline dipeptidase(pepQ)
PEPQ	4806684	Streptococcus sanguinis SK36	proline dipeptidase(pepQ)
PEPQ	8153659	Streptococcus suis BM407	Xaa-Pro dipeptidase(pepQ)
PEPQ	12999439	Enterococcus faecium DO	M24B family Xaa-Pro dipeptidase(pepQ)
YJJW	1026835	Shigella flexneri 2a str. 301	hypothetical protein(yjjW)
YJJW	7150507	Escherichia coli IAI39	putative pyruvate formate lyase activating enzyme(yjjW)
YJJW	7159443	Escherichia coli UMN026	putative pyruvate formate lyase activating enzyme(yjjW)
YJJW	3795339	Shigella dysenteriae Sd197	activating enzyme(yjjW)
YJJW	1256091	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	pyruvate formate lyase-activating enzyme(yjjW)
YJJW	3280744	Vibrio fischeri ES114	pyruvate formate lyase activating enzyme(yjjW)
YJJW	948905	Escherichia coli str. K-12 substr. MG1655	putative pyruvate formate lyase activating enzyme(yjjW)
RRLA	29078003	Ceramium cimbricum	23S ribosomal RNA(rrlA)
RRLA	27983106	Coeloseira compressa	23S ribosomal RNA(rrlA)
RRLA	2806745	Treponema denticola ATCC 35405	23S ribosomal RNA(rrlA)
RRLA	17964120	Porphyridium purpureum	23S large subunit ribosomal RNA(rrlA)
RRLA	915120	Escherichia coli O157:H7 str. Sakai	23S ribosomal RNA(rrlA)
RRLA	3797947	Shigella dysenteriae Sd197	23S ribosomal RNA(rrlA)
RRLA	15525402	Pyropia haitanensis	23S ribosomal RNA(rrlA)
RRLA	948341	Escherichia coli str. K-12 substr. MG1655	23S ribosomal RNA of rrnA operon(rrlA)
RRLA	1255517	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	23S ribosomal RNA(rrlA)
RRLA	1083702	Bacillus anthracis str. Ames	23S ribosomal RNA(rrlA)
RRLA	3852879	Salinibacter ruber DSM 13855	23S ribosomal RNA(rrlA)
RRLA	1172336	Shewanella oneidensis MR-1	23S ribosomal RNA(rrlA)
RRLA	1023459	Shigella flexneri 2a str. 301	23S ribosomal RNA(rrlA)
RRLA	5401568	Clostridium botulinum A str. Hall	23S ribosomal RNA(rrlA)
RRLA	3978859	Pyropia yezoensis	23S ribosomal RNA(rrlA)
RRLA	2795068	Desulfovibrio vulgaris str. Hildenborough	23S ribosomal RNA(rrlA)
RRLA	29071491	Dasya binghamiae	23S ribosomal RNA(rrlA)
RRLA	19310421	Pyropia perforata	23S ribosomal RNA(rrlA)
RRLA	27911887	Bangia atropurpurea	23S ribosomal RNA(rrlA)
RRLA	25398289	Triparma laevis	23S large subunit ribosomal RNA(rrlA)
RRLA	809996	Porphyra purpurea	23S ribosomal RNA(rrlA)
RRLA	4490974	Aeromonas hydrophila subsp. hydrophila ATCC 7966	23S ribosomal RNA(rrlA)
RRLA	4531788	Mycobacterium smegmatis str. MC2 155	23S ribosomal RNA(rrlA)
YJJX	948919	Escherichia coli str. K-12 substr. MG1655	non-canonical purine NTP phosphatase, ITPase/XTPase(yjjX)
YJJX	11970544	Methanocella conradii HZ254	NTPase(yjjX)
YJJX	7036702	Anoxybacillus flavithermus WK1	NTPase(yjjX)
YJJX	3795298	Shigella dysenteriae Sd197	NTPase(yjjX)
YJJX	24906671	Thermococcus paralvinellae	NTPase(yjjX)
YJJX	2884922	Pectobacterium atrosepticum SCRI1043	non-canonical purine NTP phosphatase(yjjX)
YJJX	1168763	Shewanella oneidensis MR-1	inosine/xanthosine triphosphatase YjjX(yjjX)
YJJX	24791622	Methanobacterium formicicum	NTPase(yjjX)
YJJX	3278171	Vibrio fischeri ES114	NTPase(yjjX)
YJJX	24794499	Archaeoglobus fulgidus DSM 8774	NTPase(yjjX)
YJJX	8778508	Ferroglobus placidus DSM 10642	NTPase(yjjX)
YJJX	25394355	Methanothermus fervidus DSM 2088	NTPase(yjjX)
YJJX	10395026	Archaeoglobus veneficus SNP6	NTPase(yjjX)
YJJX	9120207	Bacillus megaterium DSM 319	NTPase(yjjX)
YJJX	7987210	Thermococcus gammatolerans EJ3	NTPase(yjjX)
YJJX	22938851	Bacillus cereus AH621	NTPase(yjjX)
YJJX	24911600	Enterobacter lignolyticus SCF1	inosine/xanthosine triphosphatase(yjjX)
YJJX	9704173	Methanothermobacter marburgensis str. Marburg	NTPase(yjjX)
YJJX	3184949	Geobacillus kaustophilus HTA426	NTPase(yjjX)
YJJX	5549227	Cronobacter sakazakii ATCC BAA-894	non-canonical purine NTP phosphatase(yjjX)
YJJX	7153037	Escherichia coli IAI39	NTPase(yjjX)
YJJX	2623477	Vibrio vulnificus YJ016	non-canonical purine NTP phosphatase(BJE04_RS03640)
YJJX	5144219	Methanocella arvoryzae MRE50	NTPase(yjjX)
YJJX	15391744	Archaeoglobus sulfaticallidus PM70-1	inosine/xanthosine triphosphatase(yjjX)
YJJX	24854982	Methanothermobacter sp. CaT2	NTPase(yjjX)
YJJX	1470982	Methanothermobacter thermautotrophicus str. Delta H	NTPase(yjjX)
YJJX	23336546	Citrobacter freundii CFNIH1	inositol monophosphatase(yjjX)
YJJX	23800904	Methanobacterium sp. MB1	non-canonical purine NTP phosphatase(yjjX)
YJJX	25228228	Yersinia ruckeri ATCC 29473	inosine/xanthosine triphosphatase(yjjX)
YJJX	7960390	Edwardsiella ictaluri 93-146	inosine/xanthosine triphosphatase(yjjX)
YJJX	7158123	Escherichia coli UMN026	NTPase(yjjX)
YJJX	11172718	Bacillus coagulans 36D1	NTPase(yjjX)
YJJX	1484124	Archaeoglobus fulgidus DSM 4304	NTPase(yjjX)
YJJX	24797331	Geoglobus acetivorans	NTPase(yjjX)
YJJX	8739429	Archaeoglobus profundus DSM 5631	NTPase(yjjX)
YJJX	24841325	Palaeococcus pacificus DY20341	NTPase(yjjX)
YJJX	23108718	Bacillus mycoides Rock1-4	NTPase(yjjX)
YJJX	23391162	Serratia marcescens subsp. marcescens Db11	inosine/xanthosine triphosphatase(yjjX)
YJJX	10776193	Vibrio anguillarum 775	inosine/xanthosine triphosphatase(yjjX)
YJJX	1027380	Shigella flexneri 2a str. 301	pseudo(yjjX)
YJJX	25063827	Vibrio nigripulchritudo Wn13	hypothetical protein(yjjX)
YJJX	10669035	Methanobacterium paludis	NTPase(yjjX)
YJJX	27140160	Thermococcus peptonophilus	pseudo(yjjX)
YJJX	10277165	Methanobacterium lacus	NTPase(yjjX)
YJJX	26739745	Methanobacterium formicicum	NTPase(yjjX)
YJJX	5555881	Vibrio campbellii ATCC BAA-1116	inositol monophosphatase(yjjX)
YJJX	7160186	Vibrio tasmaniensis LGP32	inosine/xanthosine triphosphatase(yjjX)
YJJX	24189211	Hafnia alvei FB1	inositol monophosphatase(yjjX)
YJJX	25686100	Vibrio orientalis CIP 102891 = ATCC 33934	inosine/xanthosine triphosphatase(yjjX)
YJJX	9735408	Dickeya dadantii 3937	inosine/xanthosine triphosphatase(yjjX)
YJJX	3235479	Thermococcus kodakarensis KOD1	NTPase(yjjX)
YJJX	23055196	Vibrio cyclitrophicus FF75	inosine/xanthosine triphosphatase(yjjX)
YJJX	24804163	Geoglobus ahangari	NTPase(yjjX)
YJJX	25152529	Thermococcus eurythermalis	NTPase(yjjX)
YJJX	1256110	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	non-canonical purine NTP phosphatase(yjjX)
YJJX	23248162	Dickeya solani IPO 2222	hypothetical protein(yjjX)
YJJX	23126393	Bacillus cereus Rock4-18	NTPase(yjjX)
YJJX	24785021	Methanobacterium formicicum	NTPase(yjjX)
YJJX	27135466	Thermococcus guaymasensis DSM 11113	NTPase(yjjX)
YJJX	8913003	Erwinia amylovora CFBP1430	inosine/xanthosine triphosphatase(yjjX)
YJJX	24958761	Thermococcus nautili	NTPase(yjjX)
YJJX	23786808	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	inosine/xanthosine triphosphatase(yjjX)
YJJX	17779200	Salmonella enterica subsp. enterica serovar Typhi str. CT18	pseudo(yjjX)
RRLB	2806746	Treponema denticola ATCC 35405	23S ribosomal RNA(rrlB)
RRLB	914971	Escherichia coli O157:H7 str. Sakai	23S ribosomal RNA(rrlB)
RRLB	810037	Porphyra purpurea	23S ribosomal RNA(rrlB)
RRLB	25398305	Triparma laevis	23S large subunit ribosomal RNA(rrlB)
RRLB	2795002	Desulfovibrio vulgaris str. Hildenborough	23S ribosomal RNA(rrlB)
RRLB	1172343	Shewanella oneidensis MR-1	23S ribosomal RNA(rrlB)
RRLB	5399157	Clostridium botulinum A str. Hall	23S ribosomal RNA(rrlB)
RRLB	1026573	Shigella flexneri 2a str. 301	23S ribosomal RNA(rrlB)
RRLB	3797007	Shigella dysenteriae Sd197	23S ribosomal RNA(rrlB)
RRLB	948473	Escherichia coli str. K-12 substr. MG1655	23S ribosomal RNA of rrnB operon(rrlB)
RRLB	1255661	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	23S ribosomal RNA(rrlB)
RRLB	15525449	Pyropia haitanensis	23S ribosomal RNA(rrlB)
RRLB	1086388	Bacillus anthracis str. Ames	23S ribosomal RNA(rrlB)
RRLB	4490328	Aeromonas hydrophila subsp. hydrophila ATCC 7966	23S ribosomal RNA(rrlB)
RRLB	17964107	Porphyridium purpureum	23S large subunit ribosomal RNA(rrlB)
RRLB	26939315	Wildemania schizophylla	23S ribosomal RNA(rrlB)
RRLB	4531787	Mycobacterium smegmatis str. MC2 155	23S ribosomal RNA(rrlB)
RRLB	3088291	Burkholderia mallei ATCC 23344	23S ribosomal RNA(rrlB)
YJJU	3795337	Shigella dysenteriae Sd197	hypothetical protein(yjjU)
YJJU	7154584	Escherichia coli IAI39	putative esterase(yjjU)
YJJU	11636848	Acinetobacter pittii PHEA-2	phospholipase(yjjU)
YJJU	7159681	Escherichia coli UMN026	putative esterase(yjjU)
YJJU	1256089	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	phosphoesterase(yjjU)
YJJU	1024110	Shigella flexneri 2a str. 301	hypothetical protein(yjjU)
YJJU	948906	Escherichia coli str. K-12 substr. MG1655	putative patatin-like family phospholipase(yjjU)
RRLC	2796634	Desulfovibrio vulgaris str. Hildenborough	23S ribosomal RNA(rrlC)
RRLC	1172350	Shewanella oneidensis MR-1	23S ribosomal RNA(rrlC)
RRLC	1026048	Shigella flexneri 2a str. 301	23S ribosomal RNA(rrlC)
RRLC	948268	Escherichia coli str. K-12 substr. MG1655	23S ribosomal RNA of rrnC operon(rrlC)
RRLC	1255418	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	23S ribosomal RNA(rrlC)
RRLC	3797207	Shigella dysenteriae Sd197	23S ribosomal RNA(rrlC)
RRLC	3086692	Burkholderia mallei ATCC 23344	23S ribosomal RNA(rrlC)
RRLC	5399379	Clostridium botulinum A str. Hall	23S ribosomal RNA(rrlC)
RRLC	4489085	Aeromonas hydrophila subsp. hydrophila ATCC 7966	23S ribosomal RNA(rrlC)
RRLC	915319	Escherichia coli O157:H7 str. Sakai	23S ribosomal RNA(rrlC)
RRLC	1087173	Bacillus anthracis str. Ames	23S ribosomal RNA(rrlC)
YJJV	1044632	Pseudomonas putida KT2440	putative hydrolase(yjjV)
YJJV	1023498	Shigella flexneri 2a str. 301	hypothetical protein(yjjV)
YJJV	3795338	Shigella dysenteriae Sd197	deoxyribonuclease YjjV(yjjV)
YJJV	7159442	Escherichia coli UMN026	putative deoxyribonuclease YjjV(yjjV)
YJJV	1256090	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	deoxyribonuclease(yjjV)
YJJV	7154349	Escherichia coli IAI39	putative deoxyribonuclease YjjV(yjjV)
YJJV	3278160	Vibrio fischeri ES114	Dnase(yjjV)
YJJV	3192399	Francisella tularensis subsp. tularensis SCHU S4	TatD related DNAse family protein(yjjV)
